"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11","DEN_EIGEN12","DEN_EIGEN13"
0,-2.513340630489968,-2.3423740861122893,-2.0000000000000013,-1.736866565646443,-1.3808353856561,-0.9261154418798988,-0.6278545277592371,-0.18966883680589522,0.20592956998356912,1.8824144005252117,2.1808713811076808,2.747223304846372,4.700616817886998
0,-2.448147288446248,-2.2120206782874705,-2.0000000000000004,-1.7751476838914906,-1.4623548205128196,-0.9278904566444175,-0.5706684182191686,-0.3079192726250376,0.12167240356633893,1.7877243908649056,2.3366913811187473,2.7140846657839646,4.743975777292697
1,-2.6332069702850616,-2.0824146297139636,-2.0000000000000018,-1.9320762879180733,-1.4371973044825064,-0.9338041072754945,-0.7086532246332492,-0.02948034262493285,0.12656736668898516,1.9214292778436834,2.049672011786644,2.75352365741545,4.905640553198521
0,-2.8195299722922895,-2.1380882461326847,-2.0000000000000004,-1.5154745039935664,-1.4226942366493904,-0.9140242203546176,-0.5368674888583544,-0.20945693325129322,0.12034198776642757,1.8213685267321322,1.9999999999999987,2.8937115490575165,4.7207135379761205
0,-2.63867900455603,-2.2769474608624396,-1.9999999999999993,-1.613550868173099,-1.471760157360093,-0.790295368278403,-0.6494639327451264,0.0698756284160458,0.1671294143410714,1.6974012486213093,2.1619395768322676,2.8121827251763296,4.532168198588165
1,-2.504262087760527,-2.3416578450106087,-2.0000000000000018,-1.746634518296529,-1.426419536970287,-0.9453444561952524,-0.5862971284123673,-0.07102614767181908,0.17459239210916358,1.6061129804103524,2.4237530415881907,2.727399621782099,4.689783684427583
1,-2.5521774873947867,-2.206132533679329,-2.0000000000000027,-1.821484292279474,-1.5477517528202023,-0.809078458212275,-0.6644004451496305,1.130705669402231e-16,0.18585341518226417,1.6141505038552024,2.463839506214018,2.623998043387132,4.713183500897081
1,-2.389951622479773,-2.1640758152128794,-1.9999999999999971,-1.9656422312679596,-1.1161015569074602,-0.7015589762477069,-0.5848021193901344,-0.261812842970874,0.03768529038055957,1.3535825358964106,2.6367625567660453,2.8023706006440796,4.353544180789688
1,-2.4051134420079814,-2.164579626303941,-1.9999999999999973,-1.9369654751136653,-1.4426373987302916,-0.67899773505066,-0.6489068988349217,-0.18935909763961145,0.13813926888077577,1.4943036575379158,2.583682487716902,2.740013212819722,4.510421046725757
0,-2.696293748642722,-2.3119605023845593,-2.036225505838896,-1.6833839101650772,-1.0974550774145393,-0.7621040030975684,-0.6068890172274838,0.022649095924861494,0.1827477491248053,1.7692689635561734,2.078871946391052,2.7734990474180776,4.367274962355876
0,-2.5894504755442385,-2.340367223250353,-1.9999999999999991,-1.846313072063655,-1.1142205811917487,-0.7898541466006135,-0.6421713354959538,-0.13150760422103847,0.22745438606454227,1.7032948262171859,2.283882524526356,2.686603790147264,4.5526489114122555
