"COEFFICIENTS","DEN_WALKS2","DEN_WALKS3","DEN_WALKS4","DEN_WALKS5","DEN_WALKS6","DEN_WALKS7","DEN_WALKS8","DEN_WALKS9","DEN_WALKS10","DEN_WALKS11","FGRAPH_WALKS2","FGRAPH_WALKS3","FGRAPH_WALKS4","FGRAPH_WALKS5","FGRAPH_WALKS6","FGRAPH_WALKS7","FGRAPH_WALKS8","FGRAPH_WALKS9","FGRAPH_WALKS10","FGRAPH_WALKS11"
0,25,42,297,1020,5185,22008,103681,466719,2160240,9883280,28,60,480,2000,11788,58548,320448,1668768,8944288,47213408
0,25,42,291,1020,5149,22106,104131,471156,2183885,10017986,28,63,472,2130,12091,62664,339328,1805031,9687028,51793962
1,27,54,403,1620,9096,43491,227663,1138311,5842292,29575634,30,93,650,3510,21057,122626,723570,4254375,25056835,147511980
0,24,36,256,790,4050,15820,73492,310464,1394614,6052310,26,48,350,1340,7232,33292,167358,806250,3977626,19390228
0,23,30,231,610,3284,11298,53175,204438,907048,3663924,24,36,276,845,4620,17934,87396,370395,1723809,7564920
0,25,42,291,1010,5143,21994,104035,470274,2183155,10013146,28,66,468,2135,12016,62356,336964,1791597,9604693,51313614
-1,25,42,291,1010,5143,21994,104035,470274,2183155,10013146,28,66,476,2120,12088,61950,336484,1780428,9558068,50965970
1,25,42,291,1015,5194,22267,105767,478959,2230350,10249030,28,69,476,2205,12331,64505,348924,1865634,10035603,53872500
1,24,36,258,815,4149,16604,76882,330444,1486394,6528313,26,54,378,1565,8402,40565,206930,1031895,5207811,26150927
0,23,30,227,615,3224,11431,52631,206949,905168,3708188,24,39,272,905,4587,18886,88120,386553,1761729,7878607
-1,25,42,297,1050,5404,23464,112049,512502,2401965,11131582,27,60,423,1830,10071,50281,264159,1358916,7069852,36606603
0,24,36,256,810,4026,16058,72932,311706,1383194,6034798,26,45,366,1280,7391,32235,167374,785394,3927216,18907350
1,24,36,256,810,4026,16058,72932,311706,1383194,6034798,26,54,366,1400,7412,33502,167582,797922,3927766,19027316
0,22,30,206,540,2584,8638,36814,136002,556262,2146012,22,30,206,540,2584,8638,36814,136002,556262,2146012
1,27,54,393,1575,8784,41853,217809,1084518,5533737,27880083,31,102,751,4215,26557,160335,986611,6023955,36909031,225803919
1,24,36,256,780,4050,15722,73508,310104,1396234,6060098,26,51,346,1370,7205,33614,167602,811419,3993906,19508082
1,25,42,297,1060,5476,23968,114833,528162,2483245,11557392,27,60,435,1890,10623,53340,284211,1473090,7747527,40458132
-1,23,30,223,610,3152,11368,51623,205878,891268,3683020,24,36,268,850,4488,18088,85828,372762,1707204,7591540
-1,25,42,291,1005,5182,22085,105271,475539,2216310,10172756,28,63,484,2105,12379,62909,346316,1830402,9893063,52845386
1,27,54,369,1515,8064,38773,196529,974790,4889077,24403247,31,90,655,3470,21115,122360,724683,4256262,25090971,147690620
1,27,54,369,1515,8064,38773,196529,974790,4889077,24403247,32,102,772,4365,27632,168392,1041780,6410307,39529037,243557754
-1,26,48,326,1265,6530,30142,147450,704883,3409936,16416059,30,87,622,3270,19599,112315,656654,3810390,22185380,128995834
-1,26,48,326,1265,6530,30142,147450,704883,3409936,16416059,29,69,525,2455,14414,76993,430225,2357484,13039364,71819308
1,25,42,287,1030,5206,22771,107699,492729,2294890,10605573,28,69,488,2305,13087,69440,380152,2056659,11187333,60725599
0,24,36,248,805,3963,16142,73244,316602,1407239,6176544,26,48,354,1375,7442,34671,174818,849567,4209331,20663445
1,24,36,252,810,4005,16212,73592,317331,1410184,6184464,26,51,358,1410,7487,34979,175278,852468,4216056,20702770
1,25,42,293,1055,5416,23765,113633,522366,2453205,11404019,27,60,423,1885,10425,52899,279843,1453911,7620187,39778343
-1,23,30,219,625,3098,11522,51031,206490,883478,3671547,24,33,268,825,4443,17717,84316,364326,1667039,7387468
1,25,42,283,1020,5095,22302,104799,478536,2219300,10226238,28,60,484,2125,12508,64288,353284,1880295,10167593,54556260
-1,26,48,324,1230,6350,28896,140868,667614,3212846,15363216,30,72,602,2810,17514,94962,552962,3107646,17786770,100866018
1,26,48,324,1230,6350,28896,140868,667614,3212846,15363216,30,84,586,2950,17298,96278,550626,3119322,17763370,100968054
0,24,36,270,830,4317,16849,78754,333990,1508464,6587372,26,57,394,1605,8669,41223,211498,1048332,5309621,26629042
0,23,33,231,670,3245,11998,52535,211218,898838,3721267,24,39,276,910,4551,18655,85940,375735,1697534,7564249
0,25,42,305,1050,5470,23268,111665,505275,2370865,10928005,27,57,431,1770,10068,48958,260195,1322940,6899877,35518934
0,25,42,325,1085,5944,24731,122617,550815,2639345,12189914,27,69,471,2150,11898,61383,329135,1742235,9295977,49481014
0,24,36,262,830,4203,16800,77414,332316,1491079,6544758,26,54,390,1560,8576,40474,208958,1031850,5234086,26189680
0,25,42,329,1050,5866,23485,117701,515121,2475450,11237853,27,69,451,1990,10680,53459,279219,1440816,7507112,39042036
0,24,36,268,820,4203,16366,75504,319230,1427569,6207707,26,54,378,1450,7778,35420,178722,858240,4258826,20805840
0,24,36,272,820,4284,16387,76756,320598,1447219,6252587,26,51,378,1445,7841,36071,182586,884508,4401141,21634514
0,24,36,252,805,3978,15988,72504,310995,1379809,6028737,26,48,358,1320,7292,32662,166302,789816,3916106,18954078
1,24,36,252,810,4023,16254,74100,319095,1421949,6233997,26,51,362,1415,7613,35385,178826,868452,4316741,21212246
0,24,36,260,810,4083,16156,73980,315414,1405994,6134414,26,48,366,1360,7520,34076,173534,832152,4136686,20174704
0,25,42,295,1025,5251,22477,106783,483558,2252995,10359371,28,69,484,2240,12631,66283,360468,1934961,10454858,56351933
-1,23,30,215,630,3050,11606,50719,207732,883623,3692414,24,36,264,870,4416,18284,84832,373068,1691384,7557264
0,27,54,403,1650,9111,44142,229187,1153602,5905527,29995614,30,81,634,3210,19617,111230,652482,3774465,21974450,127586690
1,27,54,403,1650,9111,44142,229187,1153602,5905527,29995614,30,93,634,3330,19641,112238,652866,3782469,21978770,127648730
0,25,42,301,1065,5458,23723,112989,517299,2422895,11238348,27,57,439,1825,10440,51338,274187,1406649,7378672,38276942
-1,25,42,301,1065,5494,23891,114301,523869,2460495,11428692,27,63,439,1915,10620,53284,282459,1462905,7676212,40053706
0,23,30,235,625,3314,11494,53207,205986,903158,3665343,24,33,292,795,4803,17087,88540,355362,1712639,7277974
1,23,33,223,650,3125,11676,51163,207348,884023,3676178,24,36,276,840,4536,17710,85236,363294,1675724,7372640
