COEFFICIENT_DEN,EV_DEN1,EV_DEN2,EV_DEN3,EV_DEN4,EV_DEN5,EV_DEN6,EV_DEN7,EV_DEN8,EV_DEN9,EV_DEN10,EV_FGRAPH0,DEN_WALKS2,DEN_WALKS3,DEN_WALKS4,DEN_WALKS5,DEN_WALKS6,DEN_WALKS7,DEN_WALKS8,DEN_WALKS9,DEN_WALKS10,DEN_WALKS11,CYCLES_MULT3,CYCLES_MULT4,CYCLES_MULT5,CYCLES_MULT6,CYCLES_MULT7,CYCLES_MULT8,CYCLES_MULT9,CYCLES_MULT10,CYCLES_MULT11,CONNECTIVITY,DOUBLE_TRIANGLES
1,-2.272,-1.9158,-1.4378,-1.2398,-0.7351,-0.4288,1.2321,2.1318,2.1401,4.7987,-2.6122,26,48,324,1240,6371,29134,141844,673788,3243546,15531175,16,25,64,177,404,707,902,760,324,4,13
1,-2.0,-1.8904,-1.7542,-1.0,-0.513,-0.4142,1.2582,1.483,2.4142,5.0413,-2.3823,27,54,387,1575,8547,41062,210555,1049481,5313037,26709342,18,35,95,234,491,836,1063,892,372,4,16
0,-2.0,-2.0,-1.7321,-1.0,-0.7843,-0.4142,1.3516,1.7321,2.4142,4.794,-2.7823,26,48,324,1240,6350,29008,140900,668496,3213326,15369288,16,25,65,178,399,686,863,720,302,4,12
0,-2.0,-2.0,-1.7321,-1.0,-0.7843,-0.4142,1.3516,1.7321,2.4142,4.794,-3.0878,26,48,324,1240,6350,29008,140900,668496,3213326,15369288,16,25,65,178,399,686,863,720,302,4,12
0,-2.0,-1.9444,-1.4413,-1.0,-0.9214,-0.3408,1.3549,1.7372,2.4468,4.598,-2.9851,25,42,285,1000,5032,21595,101553,458628,2121215,9706290,14,20,48,130,294,507,637,529,220,4,8
1,-2.0,-2.0,-1.7401,-1.4142,-0.618,-0.3351,1.4142,1.618,2.3925,4.9839,-3.121,27,54,367,1510,7926,38108,191615,948510,4734547,23565146,18,31,86,238,530,927,1216,1062,466,4,15
1,-2.0,-2.0,-1.7401,-1.4142,-0.618,-0.3351,1.4142,1.618,2.3925,4.9839,-2.764,27,54,367,1510,7926,38108,191615,948510,4734547,23565146,18,31,86,238,530,927,1216,1062,466,4,15
1,-2.0,-2.0,-1.7401,-1.4142,-0.618,-0.3351,1.4142,1.618,2.3925,4.9839,-2.8353,27,54,367,1510,7926,38108,191615,948510,4734547,23565146,18,31,86,238,530,927,1216,1062,466,4,15
1,-2.0,-2.0,-1.7401,-1.4142,-0.618,-0.3351,1.4142,1.618,2.3925,4.9839,-2.9738,27,54,367,1510,7926,38108,191615,948510,4734547,23565146,18,31,86,238,530,927,1216,1062,466,4,15
1,-2.0,-2.0,-1.7401,-1.4142,-0.618,-0.3351,1.4142,1.618,2.3925,4.9839,-3.0,27,54,367,1510,7926,38108,191615,948510,4734547,23565146,18,31,86,238,530,927,1216,1062,466,4,15
1,-2.0,-1.9256,-1.7661,-1.2348,-0.5997,-0.383,1.2649,1.8444,2.3582,4.7984,-2.9665,26,48,324,1245,6371,29183,141820,673896,3242056,15523783,16,25,65,179,399,687,881,756,327,4,10
1,-2.0,-1.9256,-1.7661,-1.2348,-0.5997,-0.383,1.2649,1.8444,2.3582,4.7984,-2.782,26,48,324,1245,6371,29183,141820,673896,3242056,15523783,16,25,65,179,399,687,881,756,327,4,10
0,-2.2797,-1.854,-1.6423,-1.0,-0.5421,-0.3484,1.1769,1.6645,2.5447,4.6058,-2.7503,25,42,289,1015,5101,21952,103061,466683,2158435,9898350,14,21,51,126,273,483,638,547,230,4,9
1,-2.2319,-2.0,-1.2871,-1.2278,-0.5903,-0.4178,1.0742,2.1176,2.2797,4.5978,-2.9077,25,42,285,1000,5014,21588,101269,458430,2117770,9701186,14,20,48,130,292,513,656,548,234,4,12
1,-2.2319,-2.0,-1.2871,-1.2278,-0.5903,-0.4178,1.0742,2.1176,2.2797,4.5978,-2.9077,25,42,285,1000,5014,21588,101269,458430,2117770,9701186,14,20,48,130,292,513,656,548,234,4,12
1,-2.2319,-2.0,-1.2871,-1.2278,-0.5903,-0.4178,1.0742,2.1176,2.2797,4.5978,-2.8662,25,42,285,1000,5014,21588,101269,458430,2117770,9701186,14,20,48,130,292,513,656,548,234,4,12
1,-2.1904,-1.7321,-1.4903,-1.0,-0.8334,-0.727,1.5512,1.7321,2.2144,5.005,-2.6689,27,54,373,1520,8145,39018,198389,983367,4940407,24671790,18,32,86,239,554,955,1164,932,378,4,18
1,-2.1904,-1.7321,-1.4903,-1.0,-0.8334,-0.727,1.5512,1.7321,2.2144,5.005,-2.6751,27,54,373,1520,8145,39018,198389,983367,4940407,24671790,18,32,86,239,554,955,1164,932,378,4,18
1,-2.2165,-1.752,-1.4335,-1.0,-0.8135,-0.7182,1.3952,1.9027,2.2897,4.7941,-2.7453,26,48,324,1230,6356,28889,140972,667551,3214166,15364030,16,25,62,176,417,724,887,724,302,4,14
1,-2.2165,-1.752,-1.4335,-1.0,-0.8135,-0.7182,1.3952,1.9027,2.2897,4.7941,-2.4733,26,48,324,1230,6356,28889,140972,667551,3214166,15364030,16,25,62,176,417,724,887,724,302,4,14
0,-2.0,-1.7321,-1.0,-1.0,-1.0,-0.7987,1.4801,1.7321,2.3938,4.6086,-2.9382,25,42,289,995,5137,21742,103845,466305,2174355,9938522,14,21,45,128,307,526,638,534,232,4,8
1,-2.2766,-1.692,-1.0,-1.0,-1.0,-0.7386,1.2563,2.0763,2.2795,4.5921,-2.6425,25,42,285,985,5005,21294,100565,452463,2094315,9564214,14,20,45,128,309,539,652,522,215,4,8
1,-2.2766,-1.692,-1.0,-1.0,-1.0,-0.7386,1.2563,2.0763,2.2795,4.5921,-2.3901,25,42,285,985,5005,21294,100565,452463,2094315,9564214,14,20,45,128,309,539,652,522,215,4,8
1,-2.2361,-1.6277,-1.0,-1.0,-1.0,-0.755,1.0565,2.2361,2.3188,4.4149,-2.6486,24,39,252,825,4014,16275,73796,318153,1415214,6206739,13,16,30,86,220,388,458,356,144,4,9
0,-2.0659,-1.7043,-1.4327,-1.0,-0.876,-0.4931,1.1995,1.9711,2.3937,4.5881,-3.0387,25,42,285,985,4993,21196,100037,449061,2077855,9473112,14,20,45,128,308,531,640,518,215,4,10
0,-2.0659,-1.7043,-1.4327,-1.0,-0.876,-0.4931,1.1995,1.9711,2.3937,4.5881,-3.0078,25,42,285,985,4993,21196,100037,449061,2077855,9473112,14,20,45,128,308,531,640,518,215,4,10
0,-2.0659,-1.7043,-1.4327,-1.0,-0.876,-0.4931,1.1995,1.9711,2.3937,4.5881,-2.5965,25,42,285,985,4993,21196,100037,449061,2077855,9473112,14,20,45,128,308,531,640,518,215,4,10
1,-2.0427,-1.7665,-1.4385,-1.0,-0.8392,-0.6621,1.4185,1.9528,2.1558,4.8227,-2.5846,26,48,330,1255,6584,29995,147910,703182,3412211,16393839,16,26,65,180,415,697,836,667,268,4,15
1,-2.1636,-1.8371,-1.7321,-1.0,-0.805,-0.3379,1.4121,1.7321,2.2804,4.83,-2.6576,26,48,330,1275,6611,30464,149362,714252,3461116,16680763,16,26,68,183,402,673,822,674,284,4,14
1,-2.2705,-1.6855,-1.277,-1.0,-0.7608,-0.4205,1.1725,2.1028,2.2444,4.4106,-2.8235,24,36,252,795,3999,15974,73316,314082,1402509,6132489,12,16,34,97,223,375,444,357,153,4,8
0,-2.2251,-1.8396,-1.5854,-1.0,-0.7554,-0.3509,1.3002,1.8997,2.2913,4.6213,-2.4243,25,42,287,1020,5143,22337,105351,479814,2228265,10261768,14,20,49,136,304,501,595,480,200,4,12
