COEFFICIENTS,EV_DEN,EV_FGRAPH
-1,"[-2.35732619 -2.21915722 -1.80831781 -1.5802964  -1.         -0.92835491
 -0.44944043  1.44486985  1.75731348  2.34224684  4.79846279]","[-2.6825423  -2.         -1.71230196 -1.45512099 -1.30979819 -0.60785017
 -0.524717    0.8905178   1.07789429  2.61348533  5.71043318]"
1,"[-2.47283391 -2.25169738 -1.59557204 -1.46259842 -1.         -0.86446062
 -0.54365219  1.32712409  1.93543233  2.32845303  4.59980511]","[-2.4811943  -2.09357081 -2.         -1.46552081 -0.87353957 -0.694578
 -0.68889218  1.17008649  1.2633684   2.57037635  5.29346444]"
-1,"[-2.47283391 -2.25169738 -1.59557204 -1.46259842 -1.         -0.86446062
 -0.54365219  1.32712409  1.93543233  2.32845303  4.59980511]","[-2.95547442 -2.04287389 -1.91873773 -1.18694483 -1.         -0.69670803
 -0.27300546  1.0686279   1.4072206   2.30642247  5.29147339]"
0,"[-2.57980917 -2.29253715 -1.61671661 -1.         -1.         -1.
 -0.43851918  1.26368446  1.88844818  2.34698134  4.42846814]","[-2.5523939  -2.         -1.68844898 -1.49870549 -1.23703508 -0.60727727
 -0.43199028  0.93293882  1.73934275  2.35973359  4.98383583]"
-1,"[-2.52636541 -2.27346122 -1.60140404 -1.43782878 -1.         -0.76225564
 -0.42883267  0.97389172  2.14012267  2.31635006  4.59978331]","[-2.88128771 -2.         -1.92046028 -1.18395341 -1.         -0.52283645
 -0.33726417  0.28911347  1.98585535  2.27956187  5.29127133]"
0,"[-2.59967924 -1.92908427 -1.82332495 -1.58807199 -1.         -0.88125969
 -0.42899133  1.13226991  1.96398061  2.35583142  4.79832954]","[-2.82327934 -2.45643125 -1.93619317 -1.50403941 -0.65593252 -0.35760037
 -0.08923542  0.52324913  1.55829795  2.03304622  5.70811819]"
0,"[-2.56155281 -2.         -1.90434016 -1.5930194  -1.         -0.72519551
 -0.43724328  1.44479412  1.56155281  2.38212165  4.83288257]","[-2.61803399 -2.59473017 -1.61803399 -1.48546759 -0.79357143 -0.38196601
 -0.3445537   0.61803399  1.18461964  2.19493357  5.83876969]"
-1,"[-2.55459892 -2.25222242 -1.61553024 -1.47820745 -1.         -0.82131418
 -0.53082336  1.36980154  1.67730719  2.37801044  4.82757741]","[-2.66986673 -2.         -1.67926808 -1.5084812  -1.33844627 -0.67964319
 -0.29457804  0.82578455  1.16746356  2.36233983  5.81469557]"
-1,"[-2.37772169 -2.         -2.         -1.87747532 -0.942276   -0.61803399
 -0.40038976  1.61154143  1.61803399  2.11985785  4.86646348]","[-3.11490754e+00 -2.28938970e+00 -2.00000000e+00 -1.32707531e+00
 -7.45898312e-01 -5.80891597e-01  1.35466053e-16  8.60805853e-01
  1.05782966e+00  2.14425343e+00  5.99527351e+00]"
1,"[-2.27346122 -2.25378767 -2.         -1.43782878 -0.94503042 -0.62445731
 -0.42883267  1.27550642  2.13945607  2.14012267  4.40831292]","[-2.79005486 -2.61803399 -2.         -0.83424835 -0.61803399 -0.38196601
 -0.34456005  0.97476359  1.61803399  2.08424715  4.90985251]"
1,"[-2.57860891 -2.         -1.84755521 -1.4823469  -1.         -0.61602687
 -0.38089919  1.19437099  1.95313883  2.34471838  4.41320888]","[-2.82020906 -2.         -1.86760029 -1.56218981 -0.6942115  -0.5948046
 -0.27211178  0.9245384   1.63234848  2.32770615  4.92653401]"
0,"[-2.4021278  -2.3254951  -1.85404702 -1.76401841 -1.         -0.54209447
 -0.20876611  1.17692269  1.34970152  2.54471389  5.0252108 ]","[-3.50790277e+00+0.00000000e+00j -2.29738420e+00+0.00000000e+00j
 -2.00000000e+00+0.00000000e+00j -8.90315563e-01+0.00000000e+00j
 -7.55640076e-01+0.00000000e+00j -4.44422907e-17+0.00000000e+00j
  3.78393136e-17-1.30656191e-16j  3.78393136e-17+1.30656191e-16j
  9.38868713e-01+0.00000000e+00j  2.26354285e+00+0.00000000e+00j
  6.24883105e+00+0.00000000e+00j]"
1,"[-2.4021278  -2.3254951  -1.85404702 -1.76401841 -1.         -0.54209447
 -0.20876611  1.17692269  1.34970152  2.54471389  5.0252108 ]","[-2.37780036e+00 -2.00000000e+00 -2.00000000e+00 -1.55386768e+00
 -8.85889678e-01 -7.32050808e-01  4.61270455e-17  3.24234067e-16
  5.88564893e-01  2.73205081e+00  6.22899282e+00]"
